explanation,classified_category
"Military basic supplies such as bulletproof vests, helmets, power generators and food. According to ""Source of Aid 1"", this was enacted officially on March 8. Source of Aid 4 lists 110000 provided food rations, out of which 100000 are intended for Ukraine. ",Training & Logistics & Support
"Military basic supplies such as bulletproof vests, helmets, power generators and food. According to ""Source of Aid 1"", this was enacted officially on March 8. Source of Aid 4 lists 110000 provided food rations, out of which 100000 are intended for Ukraine. ",Training & Logistics & Support
"Military basic supplies such as bulletproof vests, helmets, power generators and food. According to ""Source of Aid 1"", this was enacted officially on March 8. Source of Aid 4 lists 110000 provided food rations, out of which 100000 are intended for Ukraine. ",Training & Logistics & Support
"Military basic supplies such as bulletproof vests, helmets, power generators and food. According to ""Source of Aid 1"", this was enacted officially on March 8. Source of Aid 4 lists 110000 provided food rations, out of which 100000 are intended for Ukraine. ",Training & Logistics & Support
"Military basic supplies such as bulletproof vests, helmets, power generators and food. According to ""Source of Aid 1"", this was enacted officially on March 8. Source of Aid 4 lists 110000 provided food rations, out of which 100000 are intended for Ukraine. ",Training & Logistics & Support
"Military basic supplies such as bulletproof vests, helmets, power generators and food. According to ""Source of Aid 1"", this was enacted officially on March 8. Source of Aid 4 lists 110000 provided food rations, out of which 100000 are intended for Ukraine. ",Training & Logistics & Support
"Military basic supplies such as bulletproof vests, helmets, power generators and food. According to ""Source of Aid 1"", this was enacted officially on March 8. Source of Aid 4 lists 110000 provided food rations, out of which 100000 are intended for Ukraine. ",Training & Logistics & Support
"Japan announced the dispatchment of protective masks, clothing against chemical weapons and camera-equipped drones. Source of Aid 2 mentions the number of 30 drones. ",General Announcements
"Japan announced the dispatchment of protective masks, clothing against chemical weapons and camera-equipped drones. Source of Aid 2 mentions the number of 30 drones. ",General Announcements
"Japan announced the dispatchment of protective masks, clothing against chemical weapons and camera-equipped drones. Source of Aid 2 mentions the number of 30 drones. ",General Announcements
"The Japanese Ministry of Defense will provide small drones to the Ukrainian government. Source of Aid 4 mentions ""at least a dozen"", which is why we use 12 as the minimal number of committed drones. They will also hand over additional new civilian vehicles (vans), quantified in donation JPH3. ",Artillery & Heavy Weapons
Japan contributed US$30 million (3.24 billion yen) to the CAP Trust Fund of the North Atlantic Treaty Organization (NATO) to support Ukraine suffering from the aggression by Russia.,Financial & Economic Aid
Japan contributed USD 37 million to the NATO CAP trust fund for anti-drone systems.,Financial & Economic Aid
"Loan of at least 100 million USD to Ukraine. As stated by ""Source of Aid 2"", the loan is provided in cooperation with the World Bank. ""Source of Aid 1"" lists also the aid packages reported in JPH1 and JPM1. Moreover, ""Source of Aid 1"" reports a total value of aid amounting to 1.87 billion USD, however from 2014 on. We do not report this value in our dataset, because it considers aid prior to January 24, 2022. ""Source of Aid 2"" details the loan condition: the maturity period is 30 years, the grace period is 10 years and the interest rate is 1% per annum.",Financial & Economic Aid
"Prime Minister Kishida announced to increase the previous granted loan (JPF1) to a total of 300 million USD. Hence, we consider here the increase of 200 million USD  Source of Aid 4 provides further information on the loan conditions (1% annual interest, 30 year maturity, 10 year grace period).",Financial & Economic Aid
"Prime Minister Kishida announced to double the financial aid to Ukraine to 600 million USD (previous amount was also 300 million USD, see JPF1 and JPF2). Source of Aid 1 specifies that this will be parallel financing linked to an IBRD loan. Source of Aid 2 indicates that this parallel financial support occured in the context of a World Bank Development Policy Loan (DPL) under the budget support program FREE of the World Bank. Source of Aid 3 is the program document indicating the parallel financing nature of this loan, at the stage when the amount pledged by Japan totaled $100 million. Source of Aid 4 provides further information on the loan conditions (1% annual interest, 30 year maturity, 10 year grace period).",Financial & Economic Aid
"The Government of Japan decided to extend Emergency Grant Aid of approximately 550,000 US dollars as support for winterization assistance in Ukraine.",Uncategorised
"The Japanese prime minister announced additional financial aid worth $5.5 billion. Source of aid 2 states that $5 billion will be provided through the World Bank. This pledge of financial assistance corresponds credit enhancement guarantees under the ADVANCE Trust Fund backed by Japan as explained by Source of aid 3 and 4, as well as an additional $500 million in financial assistance which will be allocated through other World Bank initiatives such as URTF.",Financial & Economic Aid
"The Government of Japan has announced a grant contribution of $471 million to the World Bank’s Ukraine Relief, Recovery, Reconstruction and Reform Trust Fund (URTF) in support of ongoing relief efforts in Ukraine. This contribution is part of a $5.5 billion pledge Japan made in February to help restore destroyed infrastructure and help the people of Ukraine rebuild their lives. ",Financial & Economic Aid
"WB IBRD is providing Ukraine with a loan as part of the Ukraine Relief and Recovery Development Policy Loan (DPL), backed by credit enhancements under the ADVANCE Trust Fund supported by Japan. Source of Aid 1 is the loan document indicating the credit enhancement nature of the loan. Source of Aid 2 is the overview page of the World Bank, indicating that this DPL is supported by ADVANCE specifically as a guarantee mechanism. Source of Aid 1 explicits the maturity of the loan and its grace period. The interest rate is composed of a reference floating rate (SOFR), plus a spread. Only the spread (1.44%) is reported in the interest rate column, since it is out of the scope of this dataset to take into account also reference rates.",Financial & Economic Aid
"WB IBRD is providing Ukraine with a loan as part of the Housing Repair for People's Empowerment Project (HOPE), backed by Japan. Source of Aid 1 is the loan agreement document, indicating that the $70 million loan is backed by a credit enhancement Trust Fund. The appendix on page 13 of the document indicates that this trust fund is ADVANCE, which is supported by Japan. Source of Aid 1 explicits the maturity of the loan and its grace period. The interest rate is composed of a reference floating rate (SOFR), plus a spread. Only the spread (1.44%) is reported in the interest rate column, since it is out of the scope of this dataset to take into account also reference rates.",Financial & Economic Aid
"WB IBRD is providing Ukraine with a loan as part of the Ukraine Agriculture Recovery Inclusive Support Emergency (ARISE) Project, backed by Japan. Source of Aid 1 is the loan document indicating the credit enhancement nature of the loan. Source of Aid 2 is the overview page of the World Bank, indicating that this loan is supported by ADVANCE specifically as a guarantee mechanism. Source of Aid 3 indicates that the ARISE loan in consideration in this entry is backed by credit enhancements under ADVANCE and Japan, while under the competency and with additional financing from URTF. Therefore, the contribution from Japan corresponds only to a single amount reported in this entry. Source of Aid 1 explicits the maturity of the loan and its grace period. The interest rate is composed of a reference floating rate (SOFR), plus a spread. Only the spread (1.44%) is reported in the interest rate column, since it is out of the scope of this dataset to take into account also reference rates.",Financial & Economic Aid
